Date,IGLN.L,NVDA,RTX,XOM
2020-01-01,30.72249984741211,5.97125244140625,82.94352722167969,52.491493225097656
2020-01-08,30.190000534057617,6.154175758361816,82.0501708984375,51.67750549316406
2020-01-15,30.479999542236328,6.1706013679504395,83.6365966796875,50.46770477294922
2020-01-22,30.707500457763672,6.171347141265869,82.76488494873047,48.27963638305664
2020-01-29,30.3799991607666,6.150441646575928,82.84066772460938,44.7846794128418
2020-02-05,30.639999389648438,6.667105197906494,84.05892181396484,45.202877044677734
2020-02-12,31.352500915527344,7.380878925323486,81.90940856933594,45.35944366455078
2020-02-19,32.279998779296875,6.521762847900391,75.51530456542969,41.05682373046875
2020-02-26,32.03499984741211,6.617331027984619,72.09884643554688,38.86005783081055
2020-03-04,32.38999938964844,6.5015082359313965,64.93955993652344,32.883323669433594
2020-03-11,29.947500228881836,5.41053581237793,50.506736755371094,27.8837833404541
2020-03-18,31.782499313354492,6.205170631408691,47.19908905029297,26.846010208129883
2020-03-25,31.497499465942383,6.564262866973877,51.31731033325195,28.762495040893555
2020-04-01,32.372501373291016,6.450459003448486,49.930419921875,31.239538192749023
2020-04-08,33.91749954223633,7.071025848388672,56.249515533447266,32.140968322753906
2020-04-15,32.8224983215332,6.711435794830322,54.15755844116211,31.02743148803711
2020-04-22,33.31999969482422,7.255553245544434,56.52614212036133,34.065032958984375
2020-04-29,33.24250030517578,7.3148193359375,51.0023307800293,33.958988189697266
2020-05-06,33.400001525878906,7.772027015686035,49.03139114379883,33.42116165161133
2020-05-13,34.01750183105469,8.771112442016602,50.08601379394531,33.9301643371582
2020-05-20,33.525001525878906,8.68370246887207,56.22451400756836,35.45139694213867
2020-05-27,33.90250015258789,8.790781021118164,55.291358947753906,36.532470703125
2020-06-03,33.599998474121094,9.010668754577637,61.5181770324707,41.327796936035156
2020-06-10,33.772499084472656,9.03720474243164,59.14606475830078,37.2197151184082
2020-06-17,34.532501220703125,9.417389869689941,56.285552978515625,36.06142807006836
2020-06-24,34.8849983215332,9.464971542358398,53.73900604248047,34.53248596191406
2020-07-01,35.0724983215332,9.83768367767334,53.20701217651367,33.389644622802734
2020-07-08,35.375,10.341191291809082,52.736087799072266,34.03055953979492
2020-07-15,35.967498779296875,10.292856216430664,54.98611831665039,34.478431701660156
2020-07-22,38.21500015258789,10.180245399475098,53.19830322265625,33.6290168762207
2020-07-29,39.03499984741211,11.189002990722656,50.154666900634766,33.5672492980957
2020-08-05,38.002498626708984,10.8125581741333,56.04137420654297,34.72553253173828
2020-08-12,39.0525016784668,12.218440055847168,54.15761947631836,32.76416778564453
2020-08-19,37.49250030517578,12.706003189086914,53.550350189208984,32.19002151489258
2020-08-26,38.602500915527344,13.77330493927002,53.31313705444336,31.048254013061523
2020-09-02,37.682498931884766,11.875438690185547,52.056739807128906,30.063968658447266
2020-09-09,38.15999984741211,12.950042724609375,53.98086929321289,28.559980392456055
2020-09-16,37.127498626708984,12.597907066345215,52.531185150146484,27.977285385131836
2020-09-23,36.98249816894531,13.184052467346191,50.6070671081543,26.992998123168945
2020-09-30,37.157501220703125,13.693190574645996,51.35386276245117,26.292186737060547
2020-10-07,37.005001068115234,14.203330039978027,52.29396438598633,26.945755004882812
2020-10-14,37.32749938964844,13.602478981018066,53.80514907836914,26.53629493713379
2020-10-21,37.29750061035156,13.354513168334961,49.666969299316406,25.843355178833008
2020-10-28,37.24250030517578,12.9784517288208,50.11503982543945,26.307937622070312
2020-11-04,36.77000045776367,12.72973918914795,59.64780044555664,29.024564743041992
2020-11-11,36.877498626708984,13.379932403564453,60.50883102416992,31.1844539642334
2020-11-18,35.29999923706055,12.916894912719727,65.8070068359375,33.85371398925781
2020-11-25,35.39250183105469,13.347784996032715,63.037010192871094,31.04736328125
2020-12-02,36.51250076293945,13.307910919189453,65.91320037841797,34.06338119506836
2020-12-09,36.087501525878906,13.322311401367188,62.86887741088867,34.70853042602539
2020-12-16,36.474998474121094,13.240296363830566,61.284759521484375,33.256961822509766
2020-12-23,36.83000183105469,12.906254768371582,62.24939727783203,33.281158447265625
2020-12-30,38.0625,13.366436958312988,61.43519592285156,35.07948684692383
2021-01-06,36.037498474121094,13.446206092834473,63.293663024902344,38.611629486083984
2021-01-13,35.9900016784668,12.988020896911621,61.382102966308594,39.38579559326172
2021-01-20,36.224998474121094,13.396849632263184,59.47055435180664,36.9907112121582
2021-01-27,35.8849983215332,13.5180025100708,62.07240295410156,36.79717254638672
2021-02-03,35.90250015258789,14.222482681274414,64.63883209228516,40.82929611206055
2021-02-10,35.24250030517578,15.286431312561035,64.25828552246094,42.67903137207031
2021-02-17,35.279998779296875,14.101579666137695,65.47955322265625,45.14760208129883
2021-02-24,33.78499984741211,13.367934226989746,66.08133697509766,45.9841194152832
2021-03-03,33.48249816894531,12.484466552734375,66.63041687011719,49.149776458740234
2021-03-10,33.779998779296875,13.257835388183594,69.66677856445312,48.4772834777832
2021-03-17,33.73249816894531,13.037890434265137,66.94205474853516,45.28702926635742
2021-03-24,32.880001068115234,12.839388847351074,69.29280853271484,46.49259567260742
2021-03-31,34.067501068115234,13.826651573181152,69.01677703857422,46.20555114746094
2021-04-07,34.05500030517578,15.6400785446167,69.18592071533203,45.688873291015625
2021-04-14,34.67499923706055,15.13310718536377,68.64277648925781,45.344425201416016
2021-04-21,34.73249816894531,15.34307861328125,73.73600769042969,46.26295852661133
2021-04-28,34.84000015258789,14.315167427062988,74.7421875,48.54289245605469
2021-05-05,35.76499938964844,14.270281791687012,75.0894546508789,49.69105911254883
2021-05-12,36.467498779296875,13.980513572692871,76.02439880371094,49.559844970703125
2021-05-19,36.942501068115234,15.60841178894043,76.80799102783203,48.47624588012695
2021-05-26,37.067501068115234,16.22360610961914,79.71595764160156,50.306793212890625
2021-06-02,36.939998626708984,17.41311264038086,80.12801361083984,51.69635009765625
2021-06-09,36.33000183105469,17.743776321411133,80.08321380615234,53.526885986328125
2021-06-16,34.6775016784668,18.843582153320312,78.27374267578125,53.07757568359375
2021-06-23,34.400001525878906,19.98097801208496,75.6401138305664,52.104061126708984
2021-06-30,35.212501525878906,20.65118980407715,76.81358337402344,51.063968658447266
2021-07-07,35.39500045776367,20.203716278076172,76.43737030029297,50.6562614440918
2021-07-14,35.279998779296875,18.56946563720703,75.96260070800781,46.56248092651367
2021-07-21,35.157501220703125,19.164098739624023,79.02617645263672,48.11845397949219
2021-07-28,35.3224983215332,19.76971435546875,78.80226135253906,48.42632293701172
2021-08-04,33.70500183105469,19.890438079833984,78.51558685302734,48.4096794128418
2021-08-11,34.76499938964844,19.41352653503418,77.5839614868164,46.22966384887695
2021-08-18,35.252498626708984,21.74319076538086,76.5269546508789,46.76045227050781
2021-08-25,35.28499984741211,22.333839416503906,76.38251495361328,46.05093765258789
2021-09-01,35.04999923706055,22.61419105529785,74.79646301269531,46.076271057128906
2021-09-08,35.22999954223633,22.195077896118164,74.56214904785156,46.10161590576172
2021-09-15,34.7599983215332,21.2011775970459,74.89556884765625,45.30763244628906
2021-09-22,33.94499969482422,20.65533447265625,78.25691986083984,50.61210250854492
2021-09-29,34.349998474121094,20.407855987548828,79.95108795166016,52.048030853271484
2021-10-06,34.342498779296875,20.627389907836914,80.85224914550781,51.72706604003906
2021-10-13,34.540000915527344,22.242979049682617,82.21302795410156,53.635990142822266
2021-10-20,34.869998931884766,24.664859771728516,80.34759521484375,55.61250305175781
2021-10-27,34.880001068115234,26.345306396484375,79.12201690673828,54.75094223022461
2021-11-03,35.61000061035156,30.592329025268555,81.99673461914062,56.051719665527344
2021-11-10,36.20249938964844,30.139284133911133,80.11331939697266,54.91986846923828
2021-11-17,34.807498931884766,31.679031372070312,78.68046569824219,54.04008865356445
2021-11-24,34.60749816894531,32.60707092285156,73.34980773925781,51.223812103271484
2021-12-01,34.8224983215332,32.35858917236328,77.05717468261719,53.30392074584961
2021-12-08,34.57749938964844,28.280683517456055,75.68843078613281,52.679039001464844
2021-12-15,34.82749938964844,29.017215728759766,75.85159301757812,51.788780212402344
2021-12-22,35.32500076293945,30.261741638183594,77.97268676757812,52.80742645263672
2021-12-29,35.34000015258789,29.23179054260254,81.59848022460938,56.43693161010742
2022-01-05,35.41749954223633,27.76171875,82.23298645019531,61.07652282714844
2022-01-12,35.337501525878906,25.85152244567871,82.26017761230469,62.55742645263672
2022-01-19,36.029998779296875,22.279634475708008,81.86135864257812,64.14104461669922
2022-01-26,35.252498626708984,24.589035034179688,82.24205780029297,69.1915283203125
2022-02-02,35.59749984741211,25.058103561401367,86.1760482788086,68.70361328125
2022-02-09,36.087501525878906,26.442344665527344,85.24238586425781,66.76044464111328
2022-02-16,37.095001220703125,23.343517303466797,84.7891845703125,66.17632293701172
2022-02-23,37.66749954223633,23.430339813232422,93.11943054199219,68.52184295654297
2022-03-02,40.1875,21.471242904663086,86.45463562011719,75.97380828857422
2022-03-09,37.560001373291016,22.931251525878906,88.97945404052734,66.83409881591797
2022-03-16,37.462501525878906,26.475801467895508,92.40666198730469,70.8327407836914
2022-03-23,37.29499816894531,28.60392189025879,92.13320922851562,71.29145812988281
2022-03-30,37.560001373291016,25.883872985839844,90.06412506103516,71.60304260253906
2022-04-06,38.470001220703125,21.464921951293945,93.51868438720703,74.0870132446289
2022-04-13,38.10749816894531,22.15765953063965,95.29608154296875,75.95649719238281
2022-04-20,37.102500915527344,18.75385856628418,90.41048431396484,71.22220611572266
2022-04-27,36.52750015258789,19.566375732421875,86.95596313476562,76.32866668701172
2022-05-04,35.962501525878906,17.563024520874023,83.5743408203125,73.58501434326172
2022-05-11,35.537498474121094,18.143966674804688,86.54578399658203,79.7214584350586
2022-05-18,36.41749954223633,16.124645233154297,84.95978546142578,82.54035949707031
